AddChar.sum_pi_subgroup_zmod_eq_natCard_iff	ffbf087bd769452a
AddChar.sum_pi_subgroup_zmod_prod	4a181f27c8147839
AxQM.Concrete.IsEffectivePureManifold.card_le	1a3ae1637513569c
AxQM.Concrete.PauliGroup.exists_commuting_gens_sq_one_ne_negOne_with_negOne_mem	4c7334f0d80e981e
AxQM.Concrete.PauliGroup.exists_gens_sq_one_ne_negOne_with_negOne_mem	bf0b480ffa151022
AxQM.Concrete.PauliGroup.imOne_notMem_of_negOne_notMem	7b84653caaed7ac6
AxQM.Concrete.PauliGroup.negImOne_notMem_of_negOne_notMem	4a97b227d4d9e045
AxQM.Concrete.PauliGroup.negOne_notMem_closure_iff_forall_sq_eq_one_and_ne_negOne	42692686503f40dc
AxQM.Concrete.PauliGroup.sq_eq_one_and_ne_negOne_of_negOne_notMem_closure	4be616ccaf24bf32
AxQM.Concrete.PauliGroup.sq_eq_one_of_negOne_notMem	0eaa5dcad2a9bf3c
AxQM.Concrete.PauliGroup.toMat_isHermitian_of_negOne_notMem	38c235ac64483aff
AxQM.Concrete.StabilizerTableau.run_stabilizes	bfcbbfaf55c2438e
AxQM.Concrete.ThreeSpin.jsq_mixAM12	617289a3c0f93f16
AxQM.Concrete.ThreeSpin.jsq_mixAP12	59e37f72c857c3e4
AxQM.Concrete.ThreeSpin.jsq_mixBM12	c3ebebc8a30451d5
AxQM.Concrete.ThreeSpin.jsq_mixBP12	30f395cc5e04379c
AxQM.Concrete.ThreeSpin.jsq_symM12	a86ba87d9a632972
AxQM.Concrete.ThreeSpin.jsq_symM32	5fd2c40c21323829
AxQM.Concrete.ThreeSpin.jsq_symP12	07990971b6bcaf32
AxQM.Concrete.ThreeSpin.jsq_symP32	f80d6d41d7c36ee7
AxQM.Concrete.ThreeSpin.jz_mixAM12	8cd3b2584a5c0f8c
AxQM.Concrete.ThreeSpin.jz_mixAP12	60cfea5fd25ab452
AxQM.Concrete.ThreeSpin.jz_mixBM12	300bd7c9392b9bfb
AxQM.Concrete.ThreeSpin.jz_mixBP12	424d216c4ada68cb
AxQM.Concrete.ThreeSpin.jz_symM12	08b9d3cbd02686b8
AxQM.Concrete.ThreeSpin.jz_symM32	d1ba9297f33a8ac9
AxQM.Concrete.ThreeSpin.jz_symP12	86c4c1a750f35738
AxQM.Concrete.ThreeSpin.jz_symP32	56b1dd77b718508d
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliX1	aa9a5e17c055f114
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliX2	c2d5a03632ea51e6
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliX3	facab51a64fbd757
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliZ1	b3a5127f063a0ef7
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliZ2	9d798d4982c323c8
AxQM.Concrete.ToffoliConj.toffoli_conj_pauliZ3	adf60c224ef0b0b8
AxQM.Concrete.TomographyComplete.card_eq	f215851705cc94d6
AxQM.Concrete.ampDampChannel_not_unital	a57fc9ca3c798d9f
AxQM.Concrete.ampDampChannel_toMatrixOrthonormal_of_trace_one	bd0290ecb32dfcb0
AxQM.Concrete.ampDampChiMatrix_eq	08724fe51a9bc975
AxQM.Concrete.ampDampCircuit_reduced_eq_ampDampChannel	658a07f5d2d89059
AxQM.Concrete.barencoGateBudget_isBigO_sq	ede9221e77438171
AxQM.Concrete.boltzmannExcited_boltzmannTemperature	6e56bc616c3aa11c
AxQM.Concrete.boltzmannGround_boltzmannTemperature	e0444d5df0f28adf
AxQM.Concrete.boltzmannTemperature_unique	f702f80c874c0617
AxQM.Concrete.checkRow_encodingCircuit_data	9627d14b2bb25b11
AxQM.Concrete.checkRow_encodingCircuit_middle	616d1e378cddf04e
AxQM.Concrete.chiLambda2_chiGrid2_chiLambda2	ad5886b796094dcc
AxQM.Concrete.classicalFidelity_deterministic_uniform	d96accd21cdf76c3
AxQM.Concrete.classicalFidelity_ternary_example	16373ef50ecda47d
AxQM.Concrete.classicalTraceDist_binary	33a1cea2b62292f8
AxQM.Concrete.classicalTraceDist_deterministic_uniform	5d0c2e5aac2036bc
AxQM.Concrete.classicalTraceDist_isGreatest	8ed844695c2667db
AxQM.Concrete.classicalTraceDist_isGreatest_sub	a4dec83d940367db
AxQM.Concrete.classicalTraceDist_isGreatest_sub_of_sum_eq_one	2ef58813bcb4fd46
AxQM.Concrete.classicalTraceDist_ternary_example	06b70fd979c7d52e
AxQM.Concrete.cnotMatrix_conj_pauliX1	92759f775e2cfd57
AxQM.Concrete.cnotMatrix_conj_pauliX2	8a23f61f3701adf7
